iter	Logloss
0	0.668628764
1	0.6482392655
2	0.632031925
3	0.6185572122
4	0.607179842
5	0.598267896
6	0.5897613119
7	0.5824100298
8	0.5772390279
9	0.5715941791
10	0.567844875
11	0.5641175814
12	0.560581924
13	0.557979401
14	0.5554059821
15	0.5533955609
16	0.5515989047
17	0.5500642493
18	0.5482707312
19	0.5467848941
20	0.5453614381
21	0.543884102
22	0.542584617
23	0.541583212
24	0.5402438309
25	0.5392101779
26	0.5383088463
27	0.5374967398
28	0.53625439
29	0.5355733373
30	0.5341923944
31	0.5333570614
32	0.5326799662
33	0.5315617182
34	0.5310559801
35	0.5302170527
36	0.5293945325
37	0.5290274562
38	0.5284425168
39	0.52773701
40	0.5266995845
41	0.5261269225
42	0.525261873
43	0.5247343061
44	0.5240728048
45	0.5237787099
46	0.5231669724
47	0.5225238367
48	0.5219997519
49	0.5218592674
50	0.5214828993
51	0.5208927848
52	0.5203533337
53	0.5199000877
54	0.5193604358
55	0.5188571884
56	0.5185281462
57	0.5180722008
58	0.5175015042
59	0.5165281691
60	0.5162599194
61	0.5156359002
62	0.5152743014
63	0.5147860164
64	0.5145777182
65	0.5140072584
66	0.5137717804
67	0.5135561851
68	0.5132789733
69	0.5130447613
70	0.5125634775
71	0.5123860573
72	0.5121794752
73	0.5118156661
74	0.511673536
75	0.5113089654
76	0.5110260189
77	0.5107580097
78	0.5103370822
79	0.5099304907
80	0.509666897
81	0.5095586119
82	0.5093078836
83	0.5090386647
84	0.5087177011
85	0.5084615163
86	0.5082817678
87	0.5079464023
88	0.5078543027
89	0.5076211026
90	0.5075135399
91	0.5071033017
92	0.5069553727
93	0.5065065022
94	0.5061739984
95	0.5059661713
96	0.5057391004
97	0.5055751412
98	0.5053533318
99	0.5052269194
100	0.505029318
101	0.5049764917
102	0.5049130281
103	0.5047231228
104	0.5045616801
105	0.504323775
106	0.5040909064
107	0.5039464846
108	0.5035487995
109	0.503460972
110	0.5032560677
111	0.5031038448
112	0.5029141544
113	0.5028342034
114	0.5026362091
115	0.5025628012
116	0.5024124704
117	0.5023602807
118	0.5021315499
119	0.5020105665
120	0.5017171512
121	0.5015718308
122	0.5014683193
123	0.5012638542
124	0.5011840993
125	0.5010764734
126	0.5009024379
127	0.5007490224
128	0.5005327748
129	0.5004463186
130	0.500317129
131	0.5002040682
132	0.5001161706
133	0.5000144798
134	0.4998804528
135	0.4997411295
136	0.4996655069
137	0.4995732286
138	0.4994861012
139	0.4993442316
140	0.4992545862
141	0.4991384853
142	0.4990744777
143	0.4990130109
144	0.498896292
145	0.4988018667
146	0.4987058209
147	0.4986137799
148	0.4985483142
149	0.4984824143
150	0.4984113058
151	0.4983453677
152	0.4982326598
153	0.4981348198
154	0.4980245605
155	0.4979069344
156	0.4978432511
157	0.4977724722
158	0.4977068322
159	0.4976424545
160	0.4975872214
161	0.497521302
162	0.4974589037
163	0.4974112974
164	0.4973155636
165	0.497279978
166	0.4971470963
167	0.4970433305
168	0.4969718228
169	0.4969067447
170	0.4968452257
171	0.496797637
172	0.4967144734
173	0.4966737416
174	0.4965911739
175	0.4965218594
176	0.4964777947
177	0.4963779057
178	0.4962931564
179	0.496231105
180	0.4961769359
181	0.4961274256
182	0.495966001
183	0.4959191705
184	0.495852582
185	0.4958091493
186	0.495688604
187	0.4956445165
188	0.4955896066
189	0.4955019174
190	0.4954360465
191	0.4954157378
192	0.4953862921
193	0.4953416431
194	0.4952928681
195	0.4952219546
196	0.4951658586
197	0.4951138945
198	0.4950707666
199	0.4950248214
200	0.4949795416
201	0.4949351128
202	0.494887605
203	0.4948084639
204	0.4947694056
205	0.4947429865
206	0.4947125973
207	0.4946552104
208	0.4946037311
209	0.4945669818
210	0.4945285195
211	0.4944773019
212	0.4944150712
213	0.4943516309
214	0.4943190775
215	0.4942939609
216	0.4942710432
217	0.4942351214
218	0.4941217656
219	0.4940632155
220	0.4939913897
221	0.4939694095
222	0.4939017328
223	0.4938289924
224	0.4938048766
225	0.493773909
226	0.4937453024
227	0.4937105794
228	0.493681666
229	0.493634812
230	0.4936118306
231	0.4935908054
232	0.4935438282
233	0.4934987625
234	0.493437533
235	0.493393133
236	0.4933683981
237	0.4933191135
238	0.4933072088
239	0.493271206
240	0.4932529008
241	0.4931468083
242	0.4931245098
243	0.4930997807
244	0.4930830149
245	0.4930618739
246	0.4930415662
247	0.4930117382
248	0.4929896018
249	0.4929731263
250	0.4929431945
251	0.4928771616
252	0.4928538446
253	0.4928420906
254	0.4928213721
255	0.4927615547
256	0.4927082016
257	0.492673692
258	0.4926660875
259	0.4926367922
260	0.4926148179
261	0.492597462
262	0.4925836536
263	0.4925658285
264	0.4925202998
265	0.4925016477
266	0.492481369
267	0.492454377
268	0.4924058448
269	0.4923742291
270	0.4923584589
271	0.4923261484
272	0.4923127738
273	0.4922820665
274	0.492259143
275	0.4922386039
276	0.4921947478
277	0.4921654757
278	0.4921461577
279	0.4921306593
280	0.4921117627
281	0.4920920917
282	0.4920701697
283	0.4920571833
284	0.4920153412
285	0.4919994377
286	0.4919776891
287	0.4919639095
288	0.4919486832
289	0.4919114939
290	0.4918878297
291	0.4918432733
292	0.4918320113
293	0.4917876053
294	0.491762772
295	0.4917421345
296	0.4917123357
297	0.4916986371
298	0.4916847067
299	0.4916701285
300	0.4916568525
301	0.4916242469
302	0.4915938395
303	0.4915529755
304	0.4915228526
305	0.491507742
306	0.4914942345
307	0.4914597076
308	0.4914521435
309	0.4914445562
310	0.4914252209
311	0.4913980553
312	0.4913826728
313	0.4913622785
314	0.491346352
315	0.4913109914
316	0.4912950358
317	0.491278299
318	0.4912712559
319	0.4912516427
320	0.4912331349
321	0.4911887172
322	0.491171129
323	0.4911510876
324	0.4911235495
325	0.4911130976
326	0.4910998216
327	0.4910845142
328	0.491052938
329	0.4910434758
330	0.49103226
331	0.4910194758
332	0.4909938787
333	0.4909694933
334	0.4909561013
335	0.4909470037
336	0.4909220142
337	0.4909091664
338	0.4908893102
339	0.4908739217
340	0.490850576
341	0.490827803
342	0.4908158754
343	0.4908079931
344	0.4907950412
345	0.490783883
346	0.4907678522
347	0.4907541187
348	0.4907416874
349	0.4907347253
350	0.4907215882
351	0.490689133
352	0.4906794278
353	0.4906742945
354	0.4906636922
355	0.4906434077
356	0.4906363414
357	0.4906212944
358	0.4905997079
359	0.4905905349
360	0.4905685895
361	0.4905580916
362	0.4905245079
363	0.4905186976
364	0.4905077249
365	0.4904968216
366	0.4904702811
367	0.4904545802
368	0.4904362286
369	0.4904268069
370	0.4904185716
371	0.490400453
372	0.4903856317
373	0.4903731427
374	0.4903592358
375	0.4903440616
376	0.4903246625
377	0.4903126017
378	0.4903011834
379	0.4902895684
380	0.4902557705
381	0.4902234022
382	0.4902130023
383	0.4902064974
384	0.4901965316
385	0.4901862997
386	0.4901705069
387	0.4901427103
388	0.4901344563
389	0.4901273377
390	0.4901082165
391	0.4900982508
392	0.4900794827
393	0.4900580582
394	0.4900488738
395	0.4900397241
396	0.4900342898
397	0.4900253196
398	0.4900100412
399	0.4900044622
400	0.489977152
401	0.4899705776
402	0.4899538292
403	0.4899314787
404	0.4899193601
405	0.489906194
406	0.4898948624
407	0.4898853018
408	0.489872043
409	0.4898651387
410	0.4898573548
411	0.489847036
412	0.4898356119
413	0.4898298709
414	0.489821977
415	0.489802908
416	0.4897825191
417	0.4897746888
418	0.4897594682
419	0.4897328523
420	0.4897258382
421	0.489712973
422	0.4897029783
423	0.4896950844
424	0.4896864035
425	0.4896736945
426	0.4896601176
427	0.4896529124
428	0.4896389708
429	0.4896318467
430	0.4896191262
431	0.489610289
432	0.4895970592
433	0.4895888754
434	0.4895805532
435	0.4895736432
436	0.4895617216
437	0.489554661
438	0.4895450657
439	0.4895294863
440	0.4895248506
441	0.4895189071
442	0.4895089645
443	0.4895036344
444	0.4894957926
445	0.4894895308
446	0.4894785464
447	0.4894711157
448	0.4894579322
449	0.4894488924
450	0.4894458945
451	0.4894225833
452	0.4894092842
453	0.4894026744
454	0.4893953593
455	0.4893861922
456	0.4893670594
457	0.4893563413
458	0.4893495241
459	0.4893386727
460	0.4893343669
